"conversation_id_str,""created_at"",""favorite_count"",""full_text"",""id_str"",""image_url"",""in_reply_to_screen_name"",""lang"",""location"",""quote_count"",""reply_count"",""retweet_count"",""tweet_url"",""user_id_str"",""username""";
"1826563397955321928,""Thu Aug 22 23:59:47 +0000 2024"",""0"",""@kairybubble LAWAN! JANGAN LENGAH! BATALKAN BUKAN TUNDA! #KawalPutusanMK #TolakPilkadaAkal2an #TolakPolitikDinasti #PeringatanDarurat #IndonesiaEmergencyDemocracy"",""1826771281448239307"","""",""kairybubble"",""in"","""",""0"",""0"",""1"",""https://x.com/xsyalyes/status/1826771281448239307"",""1244095335409975296"",""xsyalyes""";
"1826771279191704009,""Thu Aug 22 23:59:47 +0000 2024"",""1"",""BATALKAN BUKAN TUNDA ‼️‼️ #KawalPutusanMK #TolakPilkadaAkal2an #TolakPolitikDinasti https://t.co/c3SV7VntLw"",""1826771279191704009"",""https://pbs.twimg.com/media/GVn-zBebYAAeJvm.jpg"","""",""in"",""gawrin"",""0"",""0"",""1"",""https://x.com/helessant/status/1826771279191704009"",""1574317362542940161"",""helessant""";
"1826655332510433697,""Thu Aug 22 23:59:44 +0000 2024"",""0"",""@babufess KALO AZAR BISA DIGULINGKAN BERARTI MEREKA JUGA BISA DIGULINGKAN! GULINGKAN AZAR!! #KawalPutusanMK #TolakPilkadaAkal2an #TolakPolitikDinasti #PeringatanDarurat #IndonesiaEmergencyDemocracy"",""1826771267179217107"","""",""babufess"",""in"",""⸙͎۪۫ goes by she/her "",""0"",""0"",""1"",""https://x.com/rezeeloav/status/1826771267179217107"",""1358567502062620672"",""rezeeloav""";
"1826760548765368605,""Thu Aug 22 23:59:44 +0000 2024"",""0"",""@raining_bluedy BATALKAN BUKAN TUNDA #KawalPutusanMK #TolakPilkadaAkal2an #TolakPolitikDinasti #PeringatanDarurat #IndonesiaEmergencyDemocracy"",""1826771266029977940"","""",""raining_bluedy"",""in"",""Tangerang, Indonesia"",""0"",""0"",""1"",""https://x.com/yangmeow09/status/1826771266029977940"",""1455821301646442496"",""yangmeow09""";
"1826680110126432314,""Thu Aug 22 23:59:43 +0000 2024"",""0"",""@YLBHI kami menuntut pihak kepolisian yang bertugas hari ini &amp";" melakukan aksi kekerasan terhadap mahasiswa kemudian ada yang diculik juga smpai saat ini tidak ada informasi dimana mahasiswa tersebut. KEMBALIKAN MEREKA SEGERAA!! @DivHumas_Polri #KawalPutusanMK #TolakPilkadaAkal2an"",""1826771262548660595"","""",""YLBHI"",""in"","""",""0"",""0"",""0"",""https://x.com/fullsunlhcnn/status/1826771262548660595"",""1508427624926056456"",""fullsunlhcnn"""
"1826771262183801234,""Thu Aug 22 23:59:43 +0000 2024"",""0"",""ini bukan wni lohhh apa kabar artis indo yg masih tone deaf #KawalPutusanMK #TolakPilkadaAkal2an #TolakPolitikDinasti #PeringatanDarurat #IndonesiaEmergencyDemocracy"",""1826771262183801234"","""","""",""in"",""vet'61"",""0"",""0"",""0"",""https://x.com/iiksanboy/status/1826771262183801234"",""1675819343144431616"",""iiksanboy""";
"1826771261374255144,""Thu Aug 22 23:59:43 +0000 2024"",""0"",""KEMBALIKAN TEMAN-TEMAN KAMI @DivHumas_Polri #KawalPutusanMK"",""1826771261374255144"","""","""",""in"",""ui"",""0"",""0"",""0"",""https://x.com/studyochiii/status/1826771261374255144"",""1461565286067310596"",""studyochiii""";
"1826769087248433478,""Thu Aug 22 23:59:42 +0000 2024"",""0"",""@rahmdess27 @DivHumas_Polri KEMBALIKAN TEMAN-TEMAN KAMI!!!! Kami menuntut pihak kepolisian yang bertugas hari ini &amp";" melakukan aksi kekerasan terhadap mahasiswa kemudian ada yang diculik juga smpai saat ini tidak ada informasi dimana mahasiswa tersebut. @DivHumas_Polri @ListyoSigitP #KawalPutusanMk"",""1826771260199866536"","""",""rahmdess27"",""in"",""renjun♡"",""0"",""0"",""0"",""https://x.com/yellowmoomin_23/status/1826771260199866536"",""1617824821680963584"",""yellowmoomin_23"""
"1826593043040137239,""Thu Aug 22 23:59:42 +0000 2024"",""0"",""@nct_menfess BATALKAN BUKAN DITUNDA #KawalPutusanMK #TolakPilkadaAkal2an #TolakPolitikDinasti #PeringatanDarurat #IndonesiaEmergencyDemocracy"",""1826771258396267005"","""",""nct_menfess"",""in"","""",""0"",""0"",""0"",""https://x.com/verzrn/status/1826771258396267005"",""1352844581319020550"",""verzrn""";
"1826744643192848639,""Thu Aug 22 23:59:42 +0000 2024"",""0"",""@vyxzkjl BATALKAN BUKAN TUNDA #KawalPutusanMK #TolakPilkadaAkal2an #TolakPolitikDinasti #PeringatanDarurat #IndonesiaEmergencyDemocracy"",""1826771256697651664"","""",""vyxzkjl"",""in"",""ksy🫶"",""0"",""0"",""0"",""https://x.com/kwonfirehosh/status/1826771256697651664"",""897308087521918977"",""kwonfirehosh""";
